                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    142,                0.56512,                0.40894,                  0.966,                0.95521,                0.98761,                0.99421,                0.94252,                0.36426,                0.21108,                0.83912,              0.0044164,              0.0044164,              0.0044164
                    143,                0.56316,                0.41362,                0.96496,                  0.955,                0.98832,                0.99422,                 0.9426,                0.36333,                0.20981,                0.83855,              0.0043768,              0.0043768,              0.0043768
                    144,                  0.561,                0.40875,                0.96265,                 0.9551,                0.98814,                0.99426,                0.94307,                0.36252,                0.20954,                0.83801,              0.0043372,              0.0043372,              0.0043372
                    145,                0.55903,                0.40696,                0.96221,                0.95591,                0.98828,                0.99428,                0.94411,                0.36164,                0.20879,                0.83747,              0.0042976,              0.0042976,              0.0042976
                    146,                0.55682,                0.41111,                0.96267,                0.95576,                0.98872,                0.99434,                0.94376,                0.36114,                0.20838,                0.83711,               0.004258,               0.004258,               0.004258
                    147,                0.56188,                0.40808,                0.96458,                0.95731,                0.98795,                0.99435,                0.94506,                0.36012,                 0.2077,                0.83649,              0.0042184,              0.0042184,              0.0042184
                    148,                0.55722,                0.40493,                0.96323,                0.95642,                0.98773,                 0.9943,                0.94458,                0.35919,                0.20717,                0.83598,              0.0041788,              0.0041788,              0.0041788
                    149,                0.55613,                0.41052,                0.96119,                 0.9551,                0.98768,                0.99431,                0.94506,                0.35813,                0.20696,                0.83547,              0.0041392,              0.0041392,              0.0041392
                    150,                0.54973,                0.40642,                0.95905,                0.95527,                0.98818,                0.99432,                0.94479,                0.35701,                0.20612,                0.83491,              0.0040996,              0.0040996,              0.0040996
                    151,                0.55369,                0.40396,                0.96237,                0.95506,                0.98777,                0.99431,                 0.9455,                 0.3558,                0.20601,                0.83436,                0.00406,                0.00406,                0.00406
                    152,                0.55309,                0.40324,                0.95745,                0.95487,                0.98789,                0.99432,                0.94603,                 0.3545,                0.20485,                0.83384,              0.0040204,              0.0040204,              0.0040204
                    153,                0.54937,                0.40102,                0.95818,                0.95528,                0.98795,                0.99432,                0.94675,                0.35348,                0.20421,                0.83329,              0.0039808,              0.0039808,              0.0039808
